SCHOOL CODE,COUNTY,PUB/ PRIV,DISTRICT CODE,SCHOOL,ENROLLMENT,PME,PBE,MMR1,MMR2 
6017669,LOS ANGELES,PUBLIC,64733,HUNTINGTON DRIVE ELEM,82,0,0,78,82
111997,LOS ANGELES,PUBLIC,64733,HUNTINGTON PARK ELEM,96,0,0,93,91
6017677,LOS ANGELES,PUBLIC,64733,HYDE PARK BLVD. ELEM.,130,0,1,129,129
6114722,LOS ANGELES,PUBLIC,64733,INDEPENDENCE ELEMENTA,137,0,0,134,129
111955,LOS ANGELES,PUBLIC,64733,ISLAND ELEMENTARY SCH,137,1,0,136,130
6017685,LOS ANGELES,PUBLIC,64733,IVANHOE ELEM.,62,0,1,60,52
109330,LOS ANGELES,PUBLIC,64733,JEFFERSON NEW ELEM#1,121,0,0,119,114
109355,LOS ANGELES,PUBLIC,64733,JOHN MACK ELEM,77,0,0,75,66
6017693,LOS ANGELES,PUBLIC,64733,JUSTICE STREET ELEM.,77,0,0,73,68
6071443,LOS ANGELES,PUBLIC,64733,KENNEDY (ROBERT F.) E,90,0,0,90,89
6017701,LOS ANGELES,PUBLIC,64733,KENTER CANYON ELEM. C,82,0,4,76,75
6017719,LOS ANGELES,PUBLIC,64733,KENTWOOD ELEM.,47,0,0,47,41
6017727,LOS ANGELES,PUBLIC,64733,KESTER AVE. ELEM.,125,0,0,125,123
111989,LOS ANGELES,PUBLIC,64733,KIM ELEM,136,0,0,130,119
6115802,LOS ANGELES,PUBLIC,64733,KINDERGARDEN LEARNING,154,0,1,149,147
109405,LOS ANGELES,PUBLIC,64733,KINSLEY ELEM,91,0,0,91,79
6017735,LOS ANGELES,PUBLIC,64733,KITTRIDGE STREET ELEM,142,0,0,141,141
6017743,LOS ANGELES,PUBLIC,64733,KNOLLWOOD ELEM.,71,0,1,69,68
6119093,LOS ANGELES,PUBLIC,64733,LAFAYETTE PARK PRIMAR,141,0,1,140,137
109199,LOS ANGELES,PUBLIC,64733,LAKE ST. P. C.,162,1,1,160,158
6017768,LOS ANGELES,PUBLIC,64733,LANAI ROAD ELEM.,83,1,10,72,72
6018931,LOS ANGELES,PUBLIC,64733,LANE (ROBERT HILL) EL,51,0,0,51,41
6017776,LOS ANGELES,PUBLIC,64733,LANGDON AVE. ELEM.,162,0,0,162,151
6017784,LOS ANGELES,PUBLIC,64733,LANKERSHIM ELEM.,92,0,0,92,91
6017792,LOS ANGELES,PUBLIC,64733,LASSEN ELEM.,107,0,0,97,93
6017800,LOS ANGELES,PUBLIC,64733,LATONA AVE. ELEM.,57,2,0,55,48
6017818,LOS ANGELES,PUBLIC,64733,LAUREL ELEM.,45,0,0,45,44
6017826,LOS ANGELES,PUBLIC,64733,LEAPWOOD AVE. ELEM.,52,0,0,46,38
6017834,LOS ANGELES,PUBLIC,64733,LELAND STREET ELEM..,93,0,0,83,76
6017842,LOS ANGELES,PUBLIC,64733,LEMAY STREET ELEM.,74,0,1,73,63
109264,LOS ANGELES,PUBLIC,64733,LEXINGTON PRIMARY CEN,78,0,0,78,77
6017859,LOS ANGELES,PUBLIC,64733,LIBERTY BLVD. ELEM.,122,0,0,119,112
6017867,LOS ANGELES,PUBLIC,64733,LIGGETT STREET ELEM.,171,0,0,128,123
6017875,LOS ANGELES,PUBLIC,64733,LILLIAN STREET ELEM.,122,0,0,118,118
6017883,LOS ANGELES,PUBLIC,64733,LIMERICK AVE. ELEM.,159,0,1,155,144
6017891,LOS ANGELES,PUBLIC,64733,LOCKHURST DRIVE ELEM.,58,0,4,54,52
6017909,LOS ANGELES,PUBLIC,64733,LOCKWOOD AVE. ELEM.,44,0,0,44,42
6017917,LOS ANGELES,PUBLIC,64733,LOGAN STREET ELEM.,85,0,0,85,85
6060578,LOS ANGELES,PUBLIC,64733,LOKRANTZ SP. ED. CTR.,74,0,0,74,51
6017925,LOS ANGELES,PUBLIC,64733,LOMA VISTA AVE. ELEM.,138,1,0,137,132
6017933,LOS ANGELES,PUBLIC,64733,LOMITA MATH/SCIENCE M,84,0,0,84,84
6017941,LOS ANGELES,PUBLIC,64733,LORENA STREET ELEM.,129,0,1,128,125
6017958,LOS ANGELES,PUBLIC,64733,LORETO STREET ELEM.,79,0,0,79,77
6017966,LOS ANGELES,PUBLIC,64733,LORNE STREET ELEM.,90,0,0,90,87
6111512,LOS ANGELES,PUBLIC,64733,LOS ANGELES ELEM.,130,0,0,130,128
112235,LOS ANGELES,PUBLIC,64733,LOS FELIZ CHARTER SCH,40,0,7,33,33
6017974,LOS ANGELES,PUBLIC,64733,LOS FELIZ ELEM.,73,0,1,72,72
6017982,LOS ANGELES,PUBLIC,64733,LOYOLA VILLAGE ELEM.,39,0,1,37,35
6120810,LOS ANGELES,PUBLIC,64733,MACARTHUR PARK PRIMAR,112,1,0,109,106
109413,LOS ANGELES,PUBLIC,64733,MADISON ELEM,83,0,0,83,83
6017990,LOS ANGELES,PUBLIC,64733,MAGNOLIA AVE. ELEM.,210,0,0,210,199
6018006,LOS ANGELES,PUBLIC,64733,MAIN STREET ELEM.,195,0,0,184,170
6018014,LOS ANGELES,PUBLIC,64733,MALABAR STREET ELEM.,119,0,0,115,117
6018030,LOS ANGELES,PUBLIC,64733,MANHATTAN PLACE ELEM.,69,0,0,69,50
106922,LOS ANGELES,PUBLIC,64733,MAPLE PRIMARY CENTER,101,0,0,95,87
6018048,LOS ANGELES,PUBLIC,64733,MAR VISTA ELEM.,117,0,1,114,102
6018055,LOS ANGELES,PUBLIC,64733,MARIANNA AVE. ELEM.,62,0,0,61,61
109256,LOS ANGELES,PUBLIC,64733,MARIPOSA-NABI PRIMARY,87,0,0,84,80
6060529,LOS ANGELES,PUBLIC,64733,MARLTON SCH. (SPEC ED,25,0,0,25,25
6018063,LOS ANGELES,PUBLIC,64733,MARQUEZ AVE. ELEM. CH,98,0,14,84,80
109207,LOS ANGELES,PUBLIC,64733,MARTHA ESCUTIA PRIMAR,277,0,0,273,275
6019061,LOS ANGELES,PUBLIC,64733,MARTIN LUTHER KING JR,99,0,0,99,96
6018071,LOS ANGELES,PUBLIC,64733,MARVIN ELEM.,148,0,0,139,106
109397,LOS ANGELES,PUBLIC,64733,MAURICE SENDAK ELEM.,96,0,0,96,95
6018089,LOS ANGELES,PUBLIC,64733,MAYALL STREET ELEM.,81,1,0,80,79
6018097,LOS ANGELES,PUBLIC,64733,MAYBERRY STREET ELEM.,63,0,0,60,47
109363,LOS ANGELES,PUBLIC,64733,MAYWOOD NEW ELEM,78,0,0,76,70
6018105,LOS ANGELES,PUBLIC,64733,MCKINLEY AVE. ELEM.,125,0,0,125,125
6018113,LOS ANGELES,PUBLIC,64733,MELROSE AVE. ELEM.,37,0,2,35,35
6018121,LOS ANGELES,PUBLIC,64733,MELVIN AVE. ELEM.,94,0,0,91,84
6018139,LOS ANGELES,PUBLIC,64733,MENLO AVE. ELEM.,137,0,0,124,98
6018147,LOS ANGELES,PUBLIC,64733,MEYLER STREET ELEM.,149,0,0,149,149
6018154,LOS ANGELES,PUBLIC,64733,MICHELTORENA STREET E,57,0,0,56,54
1931070,LOS ANGELES,PUBLIC,64733,MID-CITY ALT.,19,0,0,19,19
109272,LOS ANGELES,PUBLIC,64733,MIDDLETON NEW PRIMARY,256,0,0,249,247
6018170,LOS ANGELES,PUBLIC,64733,MILES AVE. ELEM.,310,0,1,308,307
6066278,LOS ANGELES,PUBLIC,64733,MILLER (LOREN) ELEM.,168,0,0,168,165
6018188,LOS ANGELES,PUBLIC,64733,MIRAMONTE ELEM.,303,0,0,297,292
6018196,LOS ANGELES,PUBLIC,64733,MONLUX (JOHN B.) ELEM,97,0,2,95,93
6018204,LOS ANGELES,PUBLIC,64733,MONTAGUE CHARTER,171,0,0,163,160
6107403,LOS ANGELES,PUBLIC,64733,MONTARA ELEM.,99,0,0,99,96
6018220,LOS ANGELES,PUBLIC,64733,MORNINGSIDE ELEM.,149,0,0,148,149
6018238,LOS ANGELES,PUBLIC,64733,MOUNTAIN VIEW ELEM.,68,0,0,67,63
6018246,LOS ANGELES,PUBLIC,64733,MT. WASHINGTON ELEM.,50,0,4,46,42
6119044,LOS ANGELES,PUBLIC,64733,MULTICULTURAL LEARNIN,60,0,4,52,48
6018253,LOS ANGELES,PUBLIC,64733,MULTNOMAH STREET ELEM,72,0,0,72,70
6018261,LOS ANGELES,PUBLIC,64733,MURCHISON STREET ELEM,82,0,0,81,79
6018279,LOS ANGELES,PUBLIC,64733,NAPA STREET ELEM.,101,0,0,101,94
6018287,LOS ANGELES,PUBLIC,64733,NESTLE AVE. ELEM.,73,0,1,72,72
6018295,LOS ANGELES,PUBLIC,64733,NEVADA AVE. ELEM.,98,0,0,97,98
6018303,LOS ANGELES,PUBLIC,64733,NEVIN AVE. ELEM.,141,0,0,139,129
111211,LOS ANGELES,PUBLIC,64733,NEW HEIGHTS CHARTER,20,0,0,20,20
6018311,LOS ANGELES,PUBLIC,64733,NEWCASTLE ELEM.,58,0,0,58,58
6018337,LOS ANGELES,PUBLIC,64733,NINETY-FIFTH STREET E,153,0,1,144,133
6018345,LOS ANGELES,PUBLIC,64733,NINETY-NINTH STREET E,83,0,0,83,72
6018352,LOS ANGELES,PUBLIC,64733,NINETY-SECOND STREET,154,0,0,154,146
6018378,LOS ANGELES,PUBLIC,64733,NINETY-SIXTH STREET E,151,0,0,148,146
6018386,LOS ANGELES,PUBLIC,64733,NINETY-THIRD STREET E,188,0,2,186,186
6104814,LOS ANGELES,PUBLIC,64733,NINTH STREET ELEM.,39,0,0,39,38
6018394,LOS ANGELES,PUBLIC,64733,NOBLE AVE. ELEM.,236,0,0,218,201
109389,LOS ANGELES,PUBLIC,64733,NOBLE NEW ELEM #1,126,0,0,126,121
6018410,LOS ANGELES,PUBLIC,64733,NORMANDIE AVE. ELEM.,148,0,0,121,100
6018428,LOS ANGELES,PUBLIC,64733,NORMONT ELEM.,78,0,0,78,69
6018436,LOS ANGELES,PUBLIC,64733,NORWOOD STREET ELEM.,122,0,0,122,114
6110274,LOS ANGELES,PUBLIC,64733,NUEVA VISTA ELEM.,144,0,0,144,144
6018444,LOS ANGELES,PUBLIC,64733,O'MELVENY ELEM.,80,0,0,79,78
102335,LOS ANGELES,PUBLIC,64733,OCEAN CHARTER SCHOOL,60,0,24,35,27
109181,LOS ANGELES,PUBLIC,64733,OLYMPIC PRIMARY CENTE,195,0,1,194,192
