SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,PME,PBEß,MMR1
6137293,SAN JOAQUIN,PRIVATE,,MANTECA,CORNERSTONE CHRISTIAN SCHOOL,10,0,0,10
6978316,SAN JOAQUIN,PRIVATE,,MANTECA,ST. ANTHONY OF PADUA,23,0,0,23
6939869,SAN JOAQUIN,PRIVATE,,RIPON,RIPON CHRISTIAN,41,0,2,39
6980908,SAN JOAQUIN,PRIVATE,,STOCKTON,CATHEDRAL OF THE ANNUNCIATION SCHOOL,34,0,1,29
6133797,SAN JOAQUIN,PRIVATE,,STOCKTON,FIRST BAPTIST CHRISTIAN SCHOOLS,29,0,1,27
6202550,SAN JOAQUIN,PRIVATE,,STOCKTON,MERRYHILL ELEMENTARY SCHOOL,36,0,2,32
6978290,SAN JOAQUIN,PRIVATE,,STOCKTON,PRESENTATION ELEMENTARY,30,1,0,29
6978357,SAN JOAQUIN,PRIVATE,,STOCKTON,ST. LUKE SCHOOL,21,0,0,20
6978225,SAN JOAQUIN,PRIVATE,,STOCKTON,STOCKTON CHRISTIAN,14,0,1,13
7002272,SAN JOAQUIN,PRIVATE,,STOCKTON,UNITED CHRISTIAN SCHOOLS,34,0,0,34
6200026,SAN JOAQUIN,PRIVATE,,TRACY,BELLA VISTA CHRISTIAN ACADEMY,21,0,0,19
6978324,SAN JOAQUIN,PRIVATE,,TRACY,ST. BERNARD'S CATHOLIC ELEMENTARY,21,0,0,21
7094634,SAN JOAQUIN,PRIVATE,,TRACY,WEST VALLEY CHRISTIAN ACADEMY,19,0,2,17
6042949,SAN LUIS OBISPO,PUBLIC,ATASCADERO UNIFIED,ATASCADERO,MONTEREY ROAD ELEMENTARY,64,0,2,59
6111058,SAN LUIS OBISPO,PUBLIC,ATASCADERO UNIFIED,ATASCADERO,SAN BENITO ELEMENTARY,81,0,4,74
6107544,SAN LUIS OBISPO,PUBLIC,ATASCADERO UNIFIED,ATASCADERO,SAN GABRIEL ELEMENTARY,94,0,6,86
6042964,SAN LUIS OBISPO,PUBLIC,ATASCADERO UNIFIED,ATASCADERO,SANTA ROSA ROAD ACADEMIC ACADEMY,70,0,2,64
6042956,SAN LUIS OBISPO,PUBLIC,ATASCADERO UNIFIED,SANTA MARGARITA,SANTA MARGARITA ELEMENTARY,48,0,2,43
6042998,SAN LUIS OBISPO,PUBLIC,CAYUCOS ELEMENTARY,CAYUCOS,CAYUCOS ELEMENTARY,19,0,3,15
6042972,SAN LUIS OBISPO,PUBLIC,COAST UNIFIED,CAMBRIA,CAMBRIA GRAMMAR,41,0,1,40
6043012,SAN LUIS OBISPO,PUBLIC,LUCIA MAR UNIFIED,ARROYO GRANDE,BRANCH ELEMENTARY,43,0,5,38
6043053,SAN LUIS OBISPO,PUBLIC,LUCIA MAR UNIFIED,ARROYO GRANDE,HARLOE ELEMENTARY,95,0,6,89
6043087,SAN LUIS OBISPO,PUBLIC,LUCIA MAR UNIFIED,ARROYO GRANDE,OCEAN VIEW ELEMENTARY,77,0,6,66
6043079,SAN LUIS OBISPO,PUBLIC,LUCIA MAR UNIFIED,GROVER BEACH,FAIRGROVE ELEMENTARY,85,0,1,84
6043038,SAN LUIS OBISPO,PUBLIC,LUCIA MAR UNIFIED,GROVER BEACH,GROVER BEACH ELEMENTARY,63,0,6,56
6043046,SAN LUIS OBISPO,PUBLIC,LUCIA MAR UNIFIED,GROVER BEACH,GROVER HEIGHTS ELEMENTARY,74,0,7,64
6043129,SAN LUIS OBISPO,PUBLIC,LUCIA MAR UNIFIED,NIPOMO,DANA ELEMENTARY,69,0,1,68
110486,SAN LUIS OBISPO,PUBLIC,LUCIA MAR UNIFIED,NIPOMO,LANGE -DOROTHEA- ELEMENTARY,87,0,1,86
6043061,SAN LUIS OBISPO,PUBLIC,LUCIA MAR UNIFIED,NIPOMO,NIPOMO ELEMENTARY,72,0,1,71
6043095,SAN LUIS OBISPO,PUBLIC,LUCIA MAR UNIFIED,OCEANO,OCEANO ELEMENTARY,82,2,2,77
6043111,SAN LUIS OBISPO,PUBLIC,LUCIA MAR UNIFIED,PISMO BEACH,SHELL BEACH ELEMENTARY,62,0,10,47
6043145,SAN LUIS OBISPO,PUBLIC,PASO ROBLES JOINT UNIFIED,PASO ROBLES,BAUER SPECK ELEMENTARY,73,0,0,71
6043137,SAN LUIS OBISPO,PUBLIC,PASO ROBLES JOINT UNIFIED,PASO ROBLES,GEORGIA BROWN ELEMENTARY,123,0,1,116
4030243,SAN LUIS OBISPO,PUBLIC,PASO ROBLES JOINT UNIFIED,PASO ROBLES,KERMIT KING ELEMENTARY,56,0,1,55
6109151,SAN LUIS OBISPO,PUBLIC,PASO ROBLES JOINT UNIFIED,PASO ROBLES,PAT BUTLER ELEMENTARY,100,2,0,83
6108377,SAN LUIS OBISPO,PUBLIC,PASO ROBLES JOINT UNIFIED,PASO ROBLES,VIRGINIA PETERSON ELEMENTARY,70,0,1,64
6043160,SAN LUIS OBISPO,PUBLIC,PASO ROBLES JOINT UNIFIED,PASO ROBLES,WINIFRED PIFER ELEMENTARY,80,0,0,77
6043186,SAN LUIS OBISPO,PUBLIC,PLEASANT VALLEY JOINT UNION ELEMENTARY,SAN MIGUEL,PLEASANT VALLEY ELEMENTARY,22,0,1,21
6096325,SAN LUIS OBISPO,PUBLIC,SAN LUIS COASTAL UNIFIED,LOS OSOS,BAYWOOD ELEMENTARY,62,1,5,54
6110621,SAN LUIS OBISPO,PUBLIC,SAN LUIS COASTAL UNIFIED,LOS OSOS,MONARCH GROVE ELEMENTARY,85,2,3,71
6043210,SAN LUIS OBISPO,PUBLIC,SAN LUIS COASTAL UNIFIED,MORRO BAY,DEL MAR ELEMENTARY,83,0,14,69
6043194,SAN LUIS OBISPO,PUBLIC,SAN LUIS COASTAL UNIFIED,SAN LUIS OBISPO,BELLEVUE-SANTA FE CHARTER,22,0,0,22
6043277,SAN LUIS OBISPO,PUBLIC,SAN LUIS COASTAL UNIFIED,SAN LUIS OBISPO,BISHOP'S PEAK ELEMENTARY,65,0,2,50
6043236,SAN LUIS OBISPO,PUBLIC,SAN LUIS COASTAL UNIFIED,SAN LUIS OBISPO,HAWTHORNE ELEMENTARY,49,0,1,47
6043244,SAN LUIS OBISPO,PUBLIC,SAN LUIS COASTAL UNIFIED,SAN LUIS OBISPO,LOS RANCHOS ELEMENTARY,79,0,5,61
6043269,SAN LUIS OBISPO,PUBLIC,SAN LUIS COASTAL UNIFIED,SAN LUIS OBISPO,PACHECO ELEMENTARY,83,0,4,75
6043285,SAN LUIS OBISPO,PUBLIC,SAN LUIS COASTAL UNIFIED,SAN LUIS OBISPO,SINSHEIMER ELEMENTARY,50,0,1,47
6043202,SAN LUIS OBISPO,PUBLIC,SAN LUIS COASTAL UNIFIED,SAN LUIS OBISPO,SMITH -C. L.- ELEMENTARY,72,3,0,57
108522,SAN LUIS OBISPO,PUBLIC,SAN MIGUEL JOINT UNION,PASO ROBLES,CAPPY CULVER ELEMENTARY,34,0,0,30
125807,SAN LUIS OBISPO,PUBLIC,SAN MIGUEL JOINT UNION,SAN MIGUEL,ALMOND ACRES CHARTER ACADEMY,44,0,9,35
6043319,SAN LUIS OBISPO,PUBLIC,SAN MIGUEL JOINT UNION,SAN MIGUEL,LILLIAN LARSEN ELEMENTARY,50,0,1,47
6043343,SAN LUIS OBISPO,PUBLIC,SHANDON JOINT UNIFIED,SHANDON,SHANDON ELEMENTARY,39,0,1,33
6043350,SAN LUIS OBISPO,PUBLIC,TEMPLETON UNIFIED,TEMPLETON,TEMPLETON ELEMENTARY,169,0,14,152
6978456,SAN LUIS OBISPO,PRIVATE,,ARROYO GRANDE,ST. PATRICK PAROCHIAL ELEMENTARY,32,0,0,31
7040066,SAN LUIS OBISPO,PRIVATE,,ATASCADERO,CHILDREN'S HOUSE MONTESSORI,14,0,3,11
6999411,SAN LUIS OBISPO,PRIVATE,,ATASCADERO,NORTH COUNTY CHRISTIAN,14,0,2,11
6978464,SAN LUIS OBISPO,PRIVATE,,PASO ROBLES,SAINT ROSE CATHOLIC SCHOOL,20,1,0,17
6978472,SAN LUIS OBISPO,PRIVATE,,PASO ROBLES,TRINITY LUTHERAN SCHOOL,22,0,0,21
6978423,SAN LUIS OBISPO,PRIVATE,,PISMO BEACH,COASTAL CHRISTIAN SCHOOL,19,0,1,17
6999403,SAN LUIS OBISPO,PRIVATE,,SAN LUIS OBISPO,MONTESSORI CHILDREN'S,12,0,1,11
6978431,SAN LUIS OBISPO,PRIVATE,,SAN LUIS OBISPO,OLD MISSION SCHOOL,34,0,3,30
6131916,SAN LUIS OBISPO,PRIVATE,,SAN LUIS OBISPO,SAN LUIS OBISPO CLASSICAL ACADEMY,25,0,15,6
6043392,SAN MATEO,PUBLIC,BAYSHORE ELEMENTARY,DALY CITY,BAYSHORE ELEMENTARY,39,0,0,38
6043434,SAN MATEO,PUBLIC,BELMONT-REDWOOD SHORES ELEMENTARY,BELMONT,CENTRAL ELEMENTARY,75,0,3,72
6043442,SAN MATEO,PUBLIC,BELMONT-REDWOOD SHORES ELEMENTARY,BELMONT,CIPRIANI ELEMENTARY,50,0,3,46
6043459,SAN MATEO,PUBLIC,BELMONT-REDWOOD SHORES ELEMENTARY,BELMONT,FOX ELEMENTARY,88,0,1,87
6043475,SAN MATEO,PUBLIC,BELMONT-REDWOOD SHORES ELEMENTARY,BELMONT,NESBIT ELEMENTARY,72,0,1,67
121111,SAN MATEO,PUBLIC,BELMONT-REDWOOD SHORES ELEMENTARY,REDWOOD CITY,REDWOOD SHORES ELEMENTARY,94,0,3,89
6114771,SAN MATEO,PUBLIC,BELMONT-REDWOOD SHORES ELEMENTARY,REDWOOD CITY,SANDPIPER ELEMENTARY,69,0,1,68
6043491,SAN MATEO,PUBLIC,BRISBANE ELEMENTARY,BRISBANE,BRISBANE ELEMENTARY,25,0,2,22
6043517,SAN MATEO,PUBLIC,BRISBANE ELEMENTARY,DALY CITY,PANORAMA ELEMENTARY,25,0,0,25
6043541,SAN MATEO,PUBLIC,BURLINGAME ELEMENTARY,BURLINGAME,FRANKLIN ELEMENTARY,86,0,2,78
6043566,SAN MATEO,PUBLIC,BURLINGAME ELEMENTARY,BURLINGAME,LINCOLN ELEMENTARY,78,1,0,76
6043574,SAN MATEO,PUBLIC,BURLINGAME ELEMENTARY,BURLINGAME,MCKINLEY ELEMENTARY,164,0,8,153
6043590,SAN MATEO,PUBLIC,BURLINGAME ELEMENTARY,BURLINGAME,ROOSEVELT ELEMENTARY,55,0,0,53
6043608,SAN MATEO,PUBLIC,BURLINGAME ELEMENTARY,BURLINGAME,WASHINGTON ELEMENTARY,60,0,2,57
6043616,SAN MATEO,PUBLIC,CABRILLO UNIFIED,HALF MOON BAY,ALVIN S. HATCH ELEMENTARY,146,5,1,136
6043624,SAN MATEO,PUBLIC,CABRILLO UNIFIED,HALF MOON BAY,EL GRANADA ELEMENTARY,58,0,2,47
6043657,SAN MATEO,PUBLIC,CABRILLO UNIFIED,HALF MOON BAY,KINGS MOUNTAIN ELEMENTARY,12,0,2,10
6043632,SAN MATEO,PUBLIC,CABRILLO UNIFIED,MONTARA,FARALLONE VIEW ELEMENTARY,60,0,4,55
6043673,SAN MATEO,PUBLIC,HILLSBOROUGH CITY ELEMENTARY,HILLSBOROUGH,NORTH HILLSBOROUGH,56,0,2,54
6043681,SAN MATEO,PUBLIC,HILLSBOROUGH CITY ELEMENTARY,HILLSBOROUGH,SOUTH HILLSBOROUGH,50,0,0,50
6043699,SAN MATEO,PUBLIC,HILLSBOROUGH CITY ELEMENTARY,HILLSBOROUGH,WEST HILLSBOROUGH,57,0,1,44
6043806,SAN MATEO,PUBLIC,JEFFERSON ELEMENTARY,COLMA,GARDEN VILLAGE ELEMENTARY,44,0,0,41
6043772,SAN MATEO,PUBLIC,JEFFERSON ELEMENTARY,DALY CITY,DANIEL WEBSTER ELEMENTARY,61,0,0,60
6043798,SAN MATEO,PUBLIC,JEFFERSON ELEMENTARY,DALY CITY,FRANKLIN DELANO ROOSEVELT ELEMENTARY,48,0,0,47
6043822,SAN MATEO,PUBLIC,JEFFERSON ELEMENTARY,DALY CITY,GEORGE WASHINGTON ELEMENTARY,55,0,0,50
6043848,SAN MATEO,PUBLIC,JEFFERSON ELEMENTARY,DALY CITY,JOHN F. KENNEDY ELEMENTARY,51,0,0,42
6043855,SAN MATEO,PUBLIC,JEFFERSON ELEMENTARY,DALY CITY,MARGARET PAULINE BROWN ELEMENTARY,64,0,0,60
6043897,SAN MATEO,PUBLIC,JEFFERSON ELEMENTARY,DALY CITY,MARJORIE H. TOBIAS ELEMENTARY,66,0,0,64
6115364,SAN MATEO,PUBLIC,JEFFERSON ELEMENTARY,DALY CITY,SUSAN B. ANTHONY ELEMENTARY,86,0,0,82
6043871,SAN MATEO,PUBLIC,JEFFERSON ELEMENTARY,DALY CITY,THOMAS EDISON ELEMENTARY,72,0,0,69
6043905,SAN MATEO,PUBLIC,JEFFERSON ELEMENTARY,DALY CITY,WESTLAKE ELEMENTARY,67,0,0,66
6043913,SAN MATEO,PUBLIC,JEFFERSON ELEMENTARY,DALY CITY,WOODROW WILSON ELEMENTARY,75,0,0,72
112284,SAN MATEO,PUBLIC,JEFFERSON ELEMENTARY,SIMI VALLEY,CALIFORNIA VIRTUAL ACADEMY SAN MATEO,28,0,5,22
6044077,SAN MATEO,PUBLIC,LA HONDA-PESCADERO UNIFIED,LA HONDA,LA HONDA ELEMENTARY,14,0,1,10
6044085,SAN MATEO,PUBLIC,LA HONDA-PESCADERO UNIFIED,PESCADERO,PESCADERO ELEMENTARY AND MIDDLE,19,0,1,18
6044127,SAN MATEO,PUBLIC,LAS LOMITAS ELEMENTARY,ATHERTON,LAS LOMITAS ELEMENTARY,137,2,8,127
6044135,SAN MATEO,PUBLIC,MENLO PARK CITY ELEMENTARY,ATHERTON,ENCINAL ELEMENTARY,85,0,3,82
6044168,SAN MATEO,PUBLIC,MENLO PARK CITY ELEMENTARY,ATHERTON,LAUREL ELEMENTARY,108,0,5,101
6044176,SAN MATEO,PUBLIC,MENLO PARK CITY ELEMENTARY,MENLO PARK,OAK KNOLL ELEMENTARY,124,0,4,118
6044200,SAN MATEO,PUBLIC,MILLBRAE ELEMENTARY,MILLBRAE,GREEN HILLS ELEMENTARY,66,0,2,64
6044234,SAN MATEO,PUBLIC,MILLBRAE ELEMENTARY,MILLBRAE,MEADOWS ELEMENTARY,52,0,0,52
6044259,SAN MATEO,PUBLIC,MILLBRAE ELEMENTARY,MILLBRAE,SPRING VALLEY ELEMENTARY,64,0,0,64
6044226,SAN MATEO,PUBLIC,MILLBRAE ELEMENTARY,SAN BRUNO,LOMITA PARK ELEMENTARY,43,0,0,43
6043939,SAN MATEO,PUBLIC,PACIFICA,PACIFICA,CABRILLO ELEMENTARY,64,0,1,56
6044044,SAN MATEO,PUBLIC,PACIFICA,PACIFICA,OCEAN SHORE ELEMENTARY,48,0,1,47
105874,SAN MATEO,PUBLIC,PACIFICA,PACIFICA,ORTEGA ELEMENTARY,96,0,9,87
6044069,SAN MATEO,PUBLIC,PACIFICA,PACIFICA,SUNSET RIDGE ELEMENTARY,109,1,2,102
6044051,SAN MATEO,PUBLIC,PACIFICA,PACIFICA,VALLEMAR ELEMENTARY,52,0,2,50
6044283,SAN MATEO,PUBLIC,PORTOLA VALLEY ELEMENTARY,PORTOLA VALLEY,ORMONDALE ELEMENTARY,54,0,1,53
6114953,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,ASPIRE EAST PALO ALTO CHARTER,66,0,0,66
6044333,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,BRENTWOOD ACADEMY,89,0,0,89
6044325,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,COSTANO ELEMENTARY,49,0,0,48
6044341,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,GREEN OAKS ACADEMY,25,0,0,24
126649,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,EAST PALO ALTO,LOS ROBLES MAGNET ACADEMY,109,0,0,109
6044309,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,MENLO PARK,BELLE HAVEN ELEMENTARY,99,0,0,97
6044416,SAN MATEO,PUBLIC,RAVENSWOOD CITY ELEMENTARY,MENLO PARK,WILLOW OAKS ELEMENTARY,70,0,0,70
6044580,SAN MATEO,PUBLIC,REDWOOD CITY ELEMENTARY,ATHERTON,SELBY LANE ELEMENTARY,128,0,1,114
6044473,SAN MATEO,PUBLIC,REDWOOD CITY ELEMENTARY,MENLO PARK,GARFIELD ELEMENTARY,60,1,0,53
6114037,SAN MATEO,PUBLIC,REDWOOD CITY ELEMENTARY,REDWOOD CITY,ADELANTE SPANISH IMMERSION,87,0,3,81
6044424,SAN MATEO,PUBLIC,REDWOOD CITY ELEMENTARY,REDWOOD CITY,CLIFFORD ELEMENTARY,98,0,3,79
127282,SAN MATEO,PUBLIC,REDWOOD CITY ELEMENTARY,REDWOOD CITY,CONNECT COMMUNITY CHARTER,25,0,0,25
6044457,SAN MATEO,PUBLIC,REDWOOD CITY ELEMENTARY,REDWOOD CITY,FAIR OAKS ELEMENTARY,75,0,1,66
6044481,SAN MATEO,PUBLIC,REDWOOD CITY ELEMENTARY,REDWOOD CITY,HAWES ELEMENTARY,61,0,0,49
6044499,SAN MATEO,PUBLIC,REDWOOD CITY ELEMENTARY,REDWOOD CITY,HENRY FORD ELEMENTARY,86,0,4,72
6044507,SAN MATEO,PUBLIC,REDWOOD CITY ELEMENTARY,REDWOOD CITY,HOOVER ELEMENTARY,89,0,0,87
6044523,SAN MATEO,PUBLIC,REDWOOD CITY ELEMENTARY,REDWOOD CITY,JOHN GILL ELEMENTARY,64,0,0,54
6102941,SAN MATEO,PUBLIC,REDWOOD CITY ELEMENTARY,REDWOOD CITY,ORION ALTERNATIVE,30,0,1,29
6044572,SAN MATEO,PUBLIC,REDWOOD CITY ELEMENTARY,REDWOOD CITY,ROOSEVELT ELEMENTARY,113,0,0,76
6044432,SAN MATEO,PUBLIC,REDWOOD CITY ELEMENTARY,REDWOOD CITY,ROY CLOUD ELEMENTARY,83,0,1,75
6044598,SAN MATEO,PUBLIC,REDWOOD CITY ELEMENTARY,REDWOOD CITY,TAFT ELEMENTARY,109,0,1,102
6044648,SAN MATEO,PUBLIC,SAN BRUNO PARK ELEMENTARY,SAN BRUNO,ALLEN -DECIMA M.- ELEMENTARY,91,0,0,89
6044614,SAN MATEO,PUBLIC,SAN BRUNO PARK ELEMENTARY,SAN BRUNO,BELLE AIR ELEMENTARY,58,0,0,58
6044663,SAN MATEO,PUBLIC,SAN BRUNO PARK ELEMENTARY,SAN BRUNO,EL CRYSTAL ELEMENTARY,44,0,0,44
6044671,SAN MATEO,PUBLIC,SAN BRUNO PARK ELEMENTARY,SAN BRUNO,JOHN MUIR ELEMENTARY,62,1,0,58
6044010,SAN MATEO,PUBLIC,SAN BRUNO PARK ELEMENTARY,SAN BRUNO,PORTOLA ELEMENTARY,55,0,0,55
6044705,SAN MATEO,PUBLIC,SAN BRUNO PARK ELEMENTARY,SAN BRUNO,ROLLINGWOOD ELEMENTARY,84,0,1,76
6044721,SAN MATEO,PUBLIC,SAN CARLOS ELEMENTARY,SAN CARLOS,ARUNDEL ELEMENTARY,127,0,4,114
6044739,SAN MATEO,PUBLIC,SAN CARLOS ELEMENTARY,SAN CARLOS,BRITTAN ACRES ELEMENTARY,84,0,1,83
6044754,SAN MATEO,PUBLIC,SAN CARLOS ELEMENTARY,SAN CARLOS,HEATHER ELEMENTARY,80,0,1,76
6112213,SAN MATEO,PUBLIC,SAN CARLOS ELEMENTARY,SAN CARLOS,SAN CARLOS CHARTER LEARNING CENTER,44,0,7,37
6044788,SAN MATEO,PUBLIC,SAN CARLOS ELEMENTARY,SAN CARLOS,WHITE OAKS ELEMENTARY,82,0,1,76
6044812,SAN MATEO,PUBLIC,SAN MATEO-FOSTER CITY,FOSTER CITY,AUDUBON ELEMENTARY,142,0,2,140
6112650,SAN MATEO,PUBLIC,SAN MATEO-FOSTER CITY,FOSTER CITY,BREWER ISLAND ELEMENTARY,120,0,0,120
6044895,SAN MATEO,PUBLIC,SAN MATEO-FOSTER CITY,FOSTER CITY,FOSTER CITY ELEMENTARY,167,0,1,166
6044838,SAN MATEO,PUBLIC,SAN MATEO-FOSTER CITY,SAN MATEO,BAYWOOD ELEMENTARY,139,0,5,134
6044846,SAN MATEO,PUBLIC,SAN MATEO-FOSTER CITY,SAN MATEO,BERESFORD ELEMENTARY,48,2,0,46
6044952,SAN MATEO,PUBLIC,SAN MATEO-FOSTER CITY,SAN MATEO,COLLEGE PARK ELEMENTARY,76,0,1,75
6044887,SAN MATEO,PUBLIC,SAN MATEO-FOSTER CITY,SAN MATEO,FIESTA GARDENS INTERNATIONAL ELEMENTARY,100,0,3,97
6044903,SAN MATEO,PUBLIC,SAN MATEO-FOSTER CITY,SAN MATEO,GEORGE HALL ELEMENTARY,105,2,0,101
6044911,SAN MATEO,PUBLIC,SAN MATEO-FOSTER CITY,SAN MATEO,HIGHLANDS ELEMENTARY,119,0,4,115
6044804,SAN MATEO,PUBLIC,SAN MATEO-FOSTER CITY,SAN MATEO,HORRALL ELEMENTARY,93,0,1,92
6044945,SAN MATEO,PUBLIC,SAN MATEO-FOSTER CITY,SAN MATEO,LAUREL ELEMENTARY,91,0,0,90
6044960,SAN MATEO,PUBLIC,SAN MATEO-FOSTER CITY,SAN MATEO,MEADOW HEIGHTS ELEMENTARY,69,0,0,67
6044978,SAN MATEO,PUBLIC,SAN MATEO-FOSTER CITY,SAN MATEO,NORTH SHOREVIEW MONTESSORI ELEMENTARY,49,0,6,42
6044994,SAN MATEO,PUBLIC,SAN MATEO-FOSTER CITY,SAN MATEO,PARKSIDE ELEMENTARY,68,0,3,62
6044986,SAN MATEO,PUBLIC,SAN MATEO-FOSTER CITY,SAN MATEO,SAN MATEO PARK ELEMENTARY,93,0,1,91
6045017,SAN MATEO,PUBLIC,SAN MATEO-FOSTER CITY,SAN MATEO,SUNNYBRAE ELEMENTARY,88,0,0,88
6068282,SAN MATEO,PUBLIC,SOUTH SAN FRANCISCO UNIFIED,DALY CITY,JUNIPERO SERRA ELEMENTARY,47,0,0,47
6045132,SAN MATEO,PUBLIC,SOUTH SAN FRANCISCO UNIFIED,DALY CITY,SKYLINE ELEMENTARY,70,0,0,70
6045108,SAN MATEO,PUBLIC,SOUTH SAN FRANCISCO UNIFIED,SAN BRUNO,MONTE VERDE ELEMENTARY,88,0,0,88
6045041,SAN MATEO,PUBLIC,SOUTH SAN FRANCISCO UNIFIED,SOUTH SAN FRANCISCO,BURI BURI ELEMENTARY,119,0,0,119
6045082,SAN MATEO,PUBLIC,SOUTH SAN FRANCISCO UNIFIED,SOUTH SAN FRANCISCO,LOS CERRITOS ELEMENTARY,43,0,1,42
6045090,SAN MATEO,PUBLIC,SOUTH SAN FRANCISCO UNIFIED,SOUTH SAN FRANCISCO,MARTIN ELEMENTARY,86,0,0,85
6045116,SAN MATEO,PUBLIC,SOUTH SAN FRANCISCO UNIFIED,SOUTH SAN FRANCISCO,PONDEROSA ELEMENTARY,72,0,0,72
6045140,SAN MATEO,PUBLIC,SOUTH SAN FRANCISCO UNIFIED,SOUTH SAN FRANCISCO,SPRUCE ELEMENTARY,95,1,0,94
6045157,SAN MATEO,PUBLIC,SOUTH SAN FRANCISCO UNIFIED,SOUTH SAN FRANCISCO,SUNSHINE GARDENS ELEMENTARY,61,0,1,60
6045165,SAN MATEO,PUBLIC,WOODSIDE ELEMENTARY,WOODSIDE,WOODSIDE ELEMENTARY,67,0,1,66
6940159,SAN MATEO,PRIVATE,,ATHERTON,"SACRED HEART SCHOOLS, ATHERTON",46,0,0,45
6978530,SAN MATEO,PRIVATE,,BELMONT,BELMONT OAKS ACADEMY,45,0,1,44
6978662,SAN MATEO,PRIVATE,,BELMONT,IMMACULATE HEART OF MARY SCHOOL,28,0,1,26
6204606,SAN MATEO,PRIVATE,,BELMONT,SERENDIPITY SCHOOL,25,0,0,25
6978720,SAN MATEO,PRIVATE,,BURLINGAME,OUR LADY OF ANGELS ELEMENTARY,30,0,1,29
6978811,SAN MATEO,PRIVATE,,BURLINGAME,ST. CATHERINE OF SIENA ELEMENTARY,37,0,0,36
6978654,SAN MATEO,PRIVATE,,COLMA,HOLY ANGELS ELEMENTARY,17,0,0,17
6978647,SAN MATEO,PRIVATE,,DALY CITY,HILLDALE SCHOOL,17,0,0,17
6978738,SAN MATEO,PRIVATE,,DALY CITY,OUR LADY OF MERCY ELEMENTARY,53,0,1,51
6966139,SAN MATEO,PRIVATE,,DALY CITY,OUR LADY OF PERPETUAL HELP,17,0,0,17
6140800,SAN MATEO,PRIVATE,,EL GRANADA,THE WILKINSON SCHOOL,23,0,6,16
7057433,SAN MATEO,PRIVATE,,FOSTER CITY,KIDS' CONNECTION,46,0,0,45
7016074,SAN MATEO,PRIVATE,,FOSTER CITY,RONALD C. WORNICK JEWISH DAY SCHOOL,31,0,0,31
7093735,SAN MATEO,PRIVATE,,HALF MOON BAY,SEA CREST SCHOOL,21,0,1,20
6978712,SAN MATEO,PRIVATE,,HILLSBOROUGH,THE NUEVA SCHOOL,36,0,0,36
7044936,SAN MATEO,PRIVATE,,MENLO PARK,GERMAN-AMERICAN INTERNATIONAL SCHOOL,27,0,0,27
6978696,SAN MATEO,PRIVATE,,MENLO PARK,NATIVITY CATHOLIC SCHOOL K-8,31,0,1,28
6978753,SAN MATEO,PRIVATE,,MENLO PARK,"PENINSULA SCHOOL, LTD",30,0,9,21
6904122,SAN MATEO,PRIVATE,,MENLO PARK,PHILLIPS BROOKS SCHOOL,41,0,2,39
6978902,SAN MATEO,PRIVATE,,MENLO PARK,ST. RAYMOND SCHOOL,34,1,0,31
6137699,SAN MATEO,PRIVATE,,MENLO PARK,SYNAPSE SCHOOL,29,0,0,28
6965602,SAN MATEO,PRIVATE,,MENLO PARK,TRINITY SCHOOL,30,0,1,26
6978837,SAN MATEO,PRIVATE,,MILLBRAE,ST. DUNSTAN'S ELEMENTARY,26,0,0,26
6978506,SAN MATEO,PRIVATE,,PACIFICA,ALMA HEIGHTS CHRISTIAN ACADEMY,11,0,1,9
6978621,SAN MATEO,PRIVATE,,PACIFICA,GOOD SHEPHERD ELEMENTARY,14,0,0,14
6915185,SAN MATEO,PRIVATE,,PORTOLA VALLEY,WOODLAND SCHOOL,25,0,0,25
6978746,SAN MATEO,PRIVATE,,REDWOOD CITY,OUR LADY OF MT. CARMEL,35,0,0,35
6978787,SAN MATEO,PRIVATE,,REDWOOD CITY,REDEEMER LUTHERAN SCHOOL,22,0,1,21
6978894,SAN MATEO,PRIVATE,,REDWOOD CITY,ST. PIUS ELEMENTARY,37,0,0,37
7086762,SAN MATEO,PRIVATE,,REDWOOD CITY,WEST BAY CHRISTIAN ACADEMY, ,,,
6990865,SAN MATEO,PRIVATE,,SAN BRUNO,HIGHLANDS CHRISTIAN SCHOOLS,55,0,0,55
6978910,SAN MATEO,PRIVATE,,SAN BRUNO,ST. ROBERT,36,0,0,36
6978829,SAN MATEO,PRIVATE,,SAN CARLOS,ST. CHARLES ELEMENTARY,33,0,0,33
6132781,SAN MATEO,PRIVATE,,SAN MATEO,PACIFIC RIM INTERNATIONAL SCHOOL,11,0,0,11
6978852,SAN MATEO,PRIVATE,,SAN MATEO,ST. GREGORY,34,0,0,34
6978878,SAN MATEO,PRIVATE,,SAN MATEO,ST. MATTHEW CATHOLIC,54,0,0,54
