SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,PME,PBEß,MMR1
6103477,MARIPOSA,PUBLIC,MARIPOSA COUNTY UNIFIED,LA GRANGE,LAKE DON PEDRO ELEMENTARY,22,0,4,18
6025035,MARIPOSA,PUBLIC,MARIPOSA COUNTY UNIFIED,MARIPOSA,MARIPOSA ELEMENTARY,51,0,4,45
6025050,MARIPOSA,PUBLIC,MARIPOSA COUNTY UNIFIED,MARIPOSA,WOODLAND ELEMENTARY,43,0,5,37
6025084,MENDOCINO,PUBLIC,ANDERSON VALLEY UNIFIED,BOONVILLE,ANDERSON VALLEY ELEMENTARY,34,0,2,32
6025092,MENDOCINO,PUBLIC,ARENA UNION ELEMENTARY,POINT ARENA,ARENA ELEMENTARY,26,0,2,24
6025126,MENDOCINO,PUBLIC,FORT BRAGG UNIFIED,FORT BRAGG,REDWOOD ELEMENTARY,133,0,1,77
123737,MENDOCINO,PUBLIC,FORT BRAGG UNIFIED,FORT BRAGG,THREE RIVERS CHARTER, ,,,
6025308,MENDOCINO,PUBLIC,LAYTONVILLE UNIFIED,LAYTONVILLE,LAYTONVILLE ELEMENTARY,31,0,7,21
6025159,MENDOCINO,PUBLIC,MENDOCINO UNIFIED,ELK,GREENWOOD ELEMENTARY, ,,,
2330306,MENDOCINO,PUBLIC,MENDOCINO UNIFIED,MENDOCINO,MENDOCINO ALTERNATIVE, ,,,
6025167,MENDOCINO,PUBLIC,MENDOCINO UNIFIED,MENDOCINO,MENDOCINO K-8,26,0,6,13
6025241,MENDOCINO,PUBLIC,POTTER VALLEY COMMUNITY UNIFIED,POTTER VALLEY,POTTER VALLEY ELEMENTARY,23,0,0,22
2330272,MENDOCINO,PUBLIC,ROUND VALLEY UNIFIED,COVELO,EEL RIVER CHARTER,13,0,1,10
6025175,MENDOCINO,PUBLIC,ROUND VALLEY UNIFIED,COVELO,ROUND VALLEY ELEMENTARY,28,0,1,20
6025183,MENDOCINO,PUBLIC,UKIAH UNIFIED,UKIAH,CALPELLA ELEMENTARY,113,0,0,109
6025191,MENDOCINO,PUBLIC,UKIAH UNIFIED,UKIAH,FRANK ZEEK ELEMENTARY,95,0,0,95
101147,MENDOCINO,PUBLIC,UKIAH UNIFIED,UKIAH,GRACE HUDSON ELEMENTARY,94,0,1,90
6025217,MENDOCINO,PUBLIC,UKIAH UNIFIED,UKIAH,NOKOMIS ELEMENTARY,80,0,0,78
6025225,MENDOCINO,PUBLIC,UKIAH UNIFIED,UKIAH,OAK MANOR ELEMENTARY,93,0,0,89
115055,MENDOCINO,PUBLIC,UKIAH UNIFIED,UKIAH,RIVER OAK CHARTER,41,0,15,25
6117386,MENDOCINO,PUBLIC,UKIAH UNIFIED,UKIAH,TREE OF LIFE CHARTER,19,0,2,12
128280,MENDOCINO,PUBLIC,UKIAH UNIFIED,UKIAH,UKIAH INDEPENDENT STUDY ACADEMY, ,,,
6025274,MENDOCINO,PUBLIC,UKIAH UNIFIED,UKIAH,YOKAYO ELEMENTARY,80,1,3,76
6025290,MENDOCINO,PUBLIC,WILLITS UNIFIED,WILLITS,BROOKSIDE ELEMENTARY,123,1,8,98
112300,MENDOCINO,PUBLIC,WILLITS UNIFIED,WILLITS,LA VIDA CHARTER, ,,,
6104590,MENDOCINO,PUBLIC,WILLITS UNIFIED,WILLITS,SHERWOOD, ,,,
125658,MENDOCINO,PUBLIC,WILLITS UNIFIED,WILLITS,WILLITS ELEMENTARY CHARTER,23,0,3,19
6993794,MENDOCINO,PRIVATE,,CALPELLA,THE WALDORF SCHOOL OF MENDOCINO COUNTY,24,0,12,6
6998298,MENDOCINO,PRIVATE,,UKIAH,INSTILLING GOODNESS ELEMENTARY,15,0,2,13
6967335,MENDOCINO,PRIVATE,,UKIAH,ST. MARY OF THE ANGELS,24,1,0,23
6976286,MENDOCINO,PRIVATE,,UKIAH,UKIAH JUNIOR ACADEMY,19,0,0,19
6025316,MERCED,PUBLIC,ATWATER ELEMENTARY,ATWATER,AILEEN COLBURN ELEMENTARY,72,0,0,71
123067,MERCED,PUBLIC,ATWATER ELEMENTARY,ATWATER,ATWATER JUNIOR ACADEMY, ,,,
6025324,MERCED,PUBLIC,ATWATER ELEMENTARY,ATWATER,BELLEVUE ELEMENTARY,104,0,2,101
6025332,MERCED,PUBLIC,ATWATER ELEMENTARY,ATWATER,ELMER WOOD ELEMENTARY,104,0,1,100
