SCHOOL CODE,COUNTY,PUB/ PRIV,DISTRICT CODE,SCHOOL,ENROLLMENT,PME,PBE,MMR1 ,MMR2
6002356,ALAMEDA,PUBLIC,75101,WALNUT GROVE ELEM.,117,0,1,116,116
6002711,ALAMEDA,PUBLIC,75119,SUNOL GLEN,27,0,0,27,26
107839,ALAMEDA,PUBLIC,76372,LIVERMORE VALLEY CHAR,100,0,2,98,98
6204697,ALAMEDA,PRIVATE,61119,CHINESE CHRISTIAN SCH,24,0,0,24,23
6995591,ALAMEDA,PRIVATE,61119,PETER PAN,13,0,0,13,13
6995542,ALAMEDA,PRIVATE,61119,REDWOOD DAY,35,1,0,34,34
6922470,ALAMEDA,PRIVATE,61119,RISING STAR MONTESSOR,11,0,2,6,9
6965891,ALAMEDA,PRIVATE,61119,SAINT JOSEPH'S ELEM.,23,0,0,22,21
6973077,ALAMEDA,PRIVATE,61119,SAINT PHILIP NERI,29,0,1,28,28
7001811,ALAMEDA,PRIVATE,61119,THE CHILD UNIQUE MONT,11,0,2,9,5
6967442,ALAMEDA,PRIVATE,61143,BERKELEY MONTESSORI,16,0,0,15,12
6972723,ALAMEDA,PRIVATE,61143,BERKWOOD HEDGE,18,0,4,14,13
6989784,ALAMEDA,PRIVATE,61143,BLACK PINE CIRCLE,19,0,0,18,18
6900757,ALAMEDA,PRIVATE,61143,ECOLE BILINGUE DE BER,69,0,4,65,62
6919682,ALAMEDA,PRIVATE,61143,MONTESSORI FAMILY SCH,14,0,2,12,11
6973085,ALAMEDA,PRIVATE,61143,SCH.  OF THE MADELEIN,35,0,1,34,33
6970651,ALAMEDA,PRIVATE,61150,OUR LADY OF GRACE,24,0,0,21,21
6913131,ALAMEDA,PRIVATE,61150,REDWOOD CHRTN. - MAIN,35,1,3,31,31
6922389,ALAMEDA,PRIVATE,61176,CHRTN. COMMUNITY,39,0,0,39,37
7047202,ALAMEDA,PRIVATE,61176,DOMINICAN KDGN.,36,0,3,33,33
6909840,ALAMEDA,PRIVATE,61176,FREMONT CHRTN. PRESCH,66,0,0,66,66
7047269,ALAMEDA,PRIVATE,61176,MISSION VALLEY MONTES,19,0,0,19,14
9801501,ALAMEDA,PRIVATE,61176,MONTESSORI SCH. OF CE,10,0,0,10,9
6993778,ALAMEDA,PRIVATE,61176,MONTESSORI SCHOOL OF,21,0,1,20,20
6970628,ALAMEDA,PRIVATE,61176,OUR LADY OF GUADALUPE,22,0,0,22,22
7100902,ALAMEDA,PRIVATE,61176,PEACE TERRACE ACADEMY,11,0,0,11,10
6967483,ALAMEDA,PRIVATE,61176,PRINCE OF PEACE LUTHE,37,0,0,37,37
6132872,ALAMEDA,PRIVATE,61176,SCRIBBLES MONTESSORI,16,0,0,16,16
6206023,ALAMEDA,PRIVATE,61176,STRATFORD SCHOOL,70,0,0,70,70
6965909,ALAMEDA,PRIVATE,61192,ALL SAINTS,18,0,0,16,16
7032402,ALAMEDA,PRIVATE,61192,CHILDREN'S CHOICE EDU,12,0,0,12,12
6132690,ALAMEDA,PRIVATE,61192,GRACE ACADEMY,16,0,0,16,11
7003304,ALAMEDA,PRIVATE,61192,LEA'S CHRTN.,21,0,0,21,20
7103286,ALAMEDA,PRIVATE,61192,MONTESSORI CHILDREN'S,21,0,0,21,20
6200877,ALAMEDA,PRIVATE,61192,NORTHSTAR SCHOOL,15,0,1,14,14
6972871,ALAMEDA,PRIVATE,61192,SAINT BEDE'S ELEM.,22,0,0,22,21
6965917,ALAMEDA,PRIVATE,61192,SAINT CLEMENT,21,0,0,21,21
6972970,ALAMEDA,PRIVATE,61192,SAINT JOACHIM'S ELEM.,31,0,0,31,31
6995559,ALAMEDA,PRIVATE,61192,WOODROE WOODS,18,0,2,16,16
6995583,ALAMEDA,PRIVATE,61200,OUR SAVIOR LUTH.,24,0,0,23,23
6967525,ALAMEDA,PRIVATE,61200,SAINT MICHAEL'S,23,0,0,23,23
7103823,ALAMEDA,PRIVATE,61200,SUNSET CHRISTIAN SCHO,10,0,0,10,10
6900773,ALAMEDA,PRIVATE,61200,VALLEY MONTESSORI,53,0,4,49,28
7091234,ALAMEDA,PRIVATE,61234,CHALLENGER,43,0,0,43,43
7055411,ALAMEDA,PRIVATE,61234,CHALLENGER - NEWARK,133,0,1,132,132
6972921,ALAMEDA,PRIVATE,61234,SAINT EDWARD SCH.,30,0,0,30,29
7088743,ALAMEDA,PRIVATE,61242,UNION CITY CHRISTIAN,10,0,0,10,6
7082266,ALAMEDA,PRIVATE,61259,ACTS CHRISTIAN ACADEM,19,0,0,19,17
6932768,ALAMEDA,PRIVATE,61259,ARCHWAY,11,0,0,8,8
7071632,ALAMEDA,PRIVATE,61259,AURORA,21,0,3,18,17
6928725,ALAMEDA,PRIVATE,61259,BEACON DAY,23,0,1,22,20
6135537,ALAMEDA,PRIVATE,61259,ESCUELA BILINGÜE INTE,33,0,3,30,30
7071970,ALAMEDA,PRIVATE,61259,GRAND LAKE MONTESSORI,12,0,2,10,9
7083397,ALAMEDA,PRIVATE,61259,GROWING LIGHT,13,0,0,13,13
6932925,ALAMEDA,PRIVATE,61259,HEAD-ROYCE ATTN:LOWER,39,0,0,39,39
7072606,ALAMEDA,PRIVATE,61259,ILE OMODE,10,0,0,10,9
7054018,ALAMEDA,PRIVATE,61259,NORTHERN LIGHT,18,0,0,18,18
7081524,ALAMEDA,PRIVATE,61259,OAKLAND HEBREW DAY SC,18,0,1,17,11
6998470,ALAMEDA,PRIVATE,61259,PARK DAY,29,1,2,26,26
6933022,ALAMEDA,PRIVATE,61259,PATTEN ACADEMY,15,0,0,14,14
6967517,ALAMEDA,PRIVATE,61259,SAINT ANTHONY'S ELEM.,14,0,0,14,13
6972939,ALAMEDA,PRIVATE,61259,SAINT ELIZABETH'S ELE,31,0,0,31,30
6973002,ALAMEDA,PRIVATE,61259,SAINT LAWRENCE O'TOOL,13,0,0,13,13
6973010,ALAMEDA,PRIVATE,61259,SAINT LEO THE GREAT S,26,0,0,26,26
6967491,ALAMEDA,PRIVATE,61259,SAINT MARTIN DE PORRE,26,0,0,26,26
6960694,ALAMEDA,PRIVATE,61259,SAINT PAUL'S EPISCOPA,44,0,1,33,28
6967533,ALAMEDA,PRIVATE,61259,SAINT THERESA SCH.,30,0,0,30,30
6994107,ALAMEDA,PRIVATE,61259,SAINT VINCENTS' DAY H,38,0,1,37,37
6203814,ALAMEDA,PRIVATE,61259,STARLITE SCHOOL,18,0,0,18,18
7092463,ALAMEDA,PRIVATE,61259,THE RENAISSANCE SCHOO,23,0,0,23,19
7055254,ALAMEDA,PRIVATE,61259,TREEHOUSE FIRST COVEN,17,0,0,17,15
6972632,ALAMEDA,PRIVATE,61275,CORPUS CHRISTI,28,0,1,27,27
6973135,ALAMEDA,PRIVATE,61275,ZION LUTHERAN,12,0,0,12,12
6972574,ALAMEDA,PRIVATE,61291,ASSUMPTION ELEM.,32,0,1,31,31
7072317,ALAMEDA,PRIVATE,61291,"PRINCIPLED ACADEMY, T",19,0,2,17,17
6970636,ALAMEDA,PRIVATE,61291,SAINT LEANDER,28,0,1,27,27
6972624,ALAMEDA,PRIVATE,61309,CALVARY LUTHERAN ELEM,11,0,0,11,11
6906556,ALAMEDA,PRIVATE,61309,CAMELOT - CASTRO VALL,17,0,0,17,17
6932800,ALAMEDA,PRIVATE,61309,CHINESE CHRTN.,48,0,0,48,48
7091325,ALAMEDA,PRIVATE,61309,LIGHTHOUSE CHRISTIAN,11,0,0,11,11
6903454,ALAMEDA,PRIVATE,61309,MONTESSORI PRESCHOOL,12,0,0,12,12
6972947,ALAMEDA,PRIVATE,61309,SAINT FELICITAS SCH.,23,0,0,23,22
6970602,ALAMEDA,PRIVATE,61309,SAINT JOHN'S ELEM.,24,0,0,24,24
7085798,ALAMEDA,PRIVATE,75093,MONTESSORI CHILDREN'S,11,0,0,11,2
7103989,ALAMEDA,PRIVATE,75093,"QUARRY LANE SCHOOL, T",37,0,0,37,37
6959878,ALAMEDA,PRIVATE,75093,SAINT PHILIP LUTHERAN,12,0,0,12,11
7012222,ALAMEDA,PRIVATE,75093,SAINT RAYMOND'S ELEM.,33,0,0,33,33
6972657,ALAMEDA,PRIVATE,75093,VALLEY CHRTN. ELEM SC,43,0,0,41,41
6977425,ALAMEDA,PRIVATE,75101,CARDEN WEST,34,0,0,34,20
7078769,ALAMEDA,PRIVATE,75101,THE QUARRY LANE SCH.,13,0,0,13,12
6002810,AMADOR,PUBLIC,73981,IONE ELEM.,77,0,4,72,72
