SCHOOL CODE,COUNTY,PUB/ PRIV,DISTRICT CODE,SCHOOL,ENROLLMENT,PME,PBE§,MMR1 ,2 MMR‡ 
6002455,ALAMEDA,PUBLIC,61291,WASHINGTON ELEM.,78,0,0,78,74
6002463,ALAMEDA,PUBLIC,61291,WILSON ELEM.,124,0,1,123,123
6002505,ALAMEDA,PUBLIC,61309,BAY ELEM.,88,0,0,88,87
6002521,ALAMEDA,PUBLIC,61309,COLONIAL ACRES ELEM.,112,0,0,112,108
6002539,ALAMEDA,PUBLIC,61309,CORVALLIS ELEM.,105,0,0,103,98
6002547,ALAMEDA,PUBLIC,61309,DAYTON ELEM.,79,0,0,78,76
6002554,ALAMEDA,PUBLIC,61309,DEL REY ELEM.,84,0,0,84,81
6002604,ALAMEDA,PUBLIC,61309,GRANT ELEM.,81,1,0,79,79
6002612,ALAMEDA,PUBLIC,61309,HESPERIAN ELEM.,113,1,0,112,110
6002620,ALAMEDA,PUBLIC,61309,HILLSIDE ELEM.,85,0,0,85,83
6002653,ALAMEDA,PUBLIC,61309,LORENZO MANOR ELEM.,112,0,0,112,107
6118038,ALAMEDA,PUBLIC,75093,DOUGHERTY ELEM.,106,1,1,104,99
6001374,ALAMEDA,PUBLIC,75093,DUBLIN ELEM.,96,1,0,95,93
108571,ALAMEDA,PUBLIC,75093,FALLON (ELEANOR MURRA,64,0,0,64,56
6001390,ALAMEDA,PUBLIC,75093,FREDERIKSEN ELEM.,101,0,4,97,95
114579,ALAMEDA,PUBLIC,75093,JOHN GREEN ELEMENTARY,146,0,1,145,139
6001424,ALAMEDA,PUBLIC,75093,MURRAY ELEM.,72,0,2,70,70
6002315,ALAMEDA,PUBLIC,75101,ALISAL ELEM.,90,0,4,86,86
6001366,ALAMEDA,PUBLIC,75101,DONLON ELEM.,114,0,1,113,113
6002323,ALAMEDA,PUBLIC,75101,FAIRLANDS ELEM.,130,0,1,129,129
6114318,ALAMEDA,PUBLIC,75101,HENRY P. MOHR ELEM.,104,0,3,101,101
6001416,ALAMEDA,PUBLIC,75101,LYDIKSEN ELEM.,81,0,2,79,79
6117600,ALAMEDA,PUBLIC,75101,PHOEBE APPERSON HEARS,95,0,2,93,93
6002349,ALAMEDA,PUBLIC,75101,VALLEY VIEW ELEM.,122,0,3,119,119
6089361,ALAMEDA,PUBLIC,75101,VINTAGE HILLS ELEM.,97,0,5,92,92
6002356,ALAMEDA,PUBLIC,75101,WALNUT GROVE ELEM.,117,0,3,114,114
6002711,ALAMEDA,PUBLIC,75119,SUNOL GLEN,38,0,3,35,35
107839,ALAMEDA,PUBLIC,76372,LIVERMORE VALLEY CHAR,100,1,0,99,98
6967434,ALAMEDA,PRIVATE,61119,ALAMEDA CHRTN.,11,0,0,11,10
6204697,ALAMEDA,PRIVATE,61119,CHINESE CHRISTIAN SCH,21,0,0,21,21
6995542,ALAMEDA,PRIVATE,61119,REDWOOD DAY,35,0,0,31,29
6922470,ALAMEDA,PRIVATE,61119,RISING STAR MONTESSOR,19,0,3,16,14
6965891,ALAMEDA,PRIVATE,61119,SAINT JOSEPH'S ELEM.,31,0,0,31,29
6973077,ALAMEDA,PRIVATE,61119,SAINT PHILIP NERI,36,0,1,33,32
6972723,ALAMEDA,PRIVATE,61143,BERKWOOD HEDGE,17,0,5,12,12
6989784,ALAMEDA,PRIVATE,61143,BLACK PINE CIRCLE,12,0,1,11,9
6900757,ALAMEDA,PRIVATE,61143,ECOLE BILINGUE DE BER,66,0,0,66,63
6919682,ALAMEDA,PRIVATE,61143,MONTESSORI FAMILY SCH,13,0,3,10,4
6973085,ALAMEDA,PRIVATE,61143,SCH.  OF THE MADELEIN,36,0,0,36,36
6972533,ALAMEDA,PRIVATE,61143,THE ACADEMY,14,0,0,14,14
6967442,ALAMEDA,PRIVATE,61143,THE BERKELEY SCHOOL,15,0,1,14,14
6970651,ALAMEDA,PRIVATE,61150,OUR LADY OF GRACE,32,0,0,29,30
6913131,ALAMEDA,PRIVATE,61150,REDWOOD CHRTN. - MAIN,36,0,0,36,36
6922389,ALAMEDA,PRIVATE,61176,CHRTN. COMMUNITY,22,0,0,22,21
7047202,ALAMEDA,PRIVATE,61176,DOMINICAN KDGN.,22,0,0,22,22
6909840,ALAMEDA,PRIVATE,61176,FREMONT CHRISTIAN SCH,47,0,1,46,45
7047269,ALAMEDA,PRIVATE,61176,MISSION VALLEY MONTES,13,0,0,13,13
6993778,ALAMEDA,PRIVATE,61176,MONTESSORI SCHOOL OF,18,0,0,18,18
6970628,ALAMEDA,PRIVATE,61176,OUR LADY OF GUADALUPE,25,0,1,24,21
7100902,ALAMEDA,PRIVATE,61176,PEACE TERRACE ACADEMY,12,0,1,11,11
6132872,ALAMEDA,PRIVATE,61176,SCRIBBLES MONTESSORI,19,0,0,19,19
6206023,ALAMEDA,PRIVATE,61176,STRATFORD SCHOOL,78,0,2,76,76
6965909,ALAMEDA,PRIVATE,61192,ALL SAINTS,19,0,0,5,5
7003304,ALAMEDA,PRIVATE,61192,LEA'S CHRTN.,19,0,0,19,19
7103286,ALAMEDA,PRIVATE,61192,MONTESSORI CHILDREN'S,18,0,0,18,17
9301502,ALAMEDA,PRIVATE,61192,MONTESSORI SCHOOL AT,13,0,0,13,13
6200877,ALAMEDA,PRIVATE,61192,NORTHSTAR SCHOOL,15,0,0,15,15
6972871,ALAMEDA,PRIVATE,61192,SAINT BEDE'S ELEM.,26,0,0,26,26
6972970,ALAMEDA,PRIVATE,61192,SAINT JOACHIM'S ELEM.,35,0,1,34,34
6995559,ALAMEDA,PRIVATE,61192,WOODROE WOODS,28,0,1,27,21
6995583,ALAMEDA,PRIVATE,61200,OUR SAVIOR LUTH.,24,0,0,22,22
6967525,ALAMEDA,PRIVATE,61200,SAINT MICHAEL'S,21,0,1,20,19
6900773,ALAMEDA,PRIVATE,61200,VALLEY MONTESSORI,49,1,6,42,32
7091234,ALAMEDA,PRIVATE,61234,CHALLENGER,39,0,0,39,39
7055411,ALAMEDA,PRIVATE,61234,CHALLENGER - NEWARK,129,0,1,128,128
6972921,ALAMEDA,PRIVATE,61234,SAINT EDWARD SCH.,29,0,1,28,28
6977862,ALAMEDA,PRIVATE,61242,OUR LADY OF THE ROSAR,11,0,0,11,11
7088743,ALAMEDA,PRIVATE,61242,UNION CITY CHRISTIAN,10,0,1,8,9
7082266,ALAMEDA,PRIVATE,61259,ACTS CHRISTIAN ACADEM,23,0,0,23,6
7071632,ALAMEDA,PRIVATE,61259,AURORA,24,0,5,19,17
6928725,ALAMEDA,PRIVATE,61259,BEACON DAY,30,0,3,27,27
7095292,ALAMEDA,PRIVATE,61259,DR. HERBERT GUICE CHR,10,0,0,10,10
6138184,ALAMEDA,PRIVATE,61259,ESCUELA BILINGÃœE INT,42,0,2,40,37
7071970,ALAMEDA,PRIVATE,61259,GRAND LAKE MONTESSORI,17,0,3,14,12
